sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
39-ITS_S231,39,1,G,5,36,T1,25.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,39-ITS_S231_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.90004219260658,0.743795400595801,1,1.5
4-ITS_S196,4,1,D,1,13,T1,16.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,4-ITS_S196_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.31130874196744,0.813659666598291,1,1.5
40-ITS_S232,40,1,H,5,37,T1,16.3,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,40-ITS_S232_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.93165916842597,0.914830133390312,1,1
42-ITS_S234,42,1,B,6,6,T1,31.7,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,42-ITS_S234_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.47938273086922,0.822873151633125,1,4
44-ITS_S236,44,1,D,6,38,T1,26.8,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,44-ITS_S236_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.10868789667419,0.366925946188468,3,3
45-ITS_S237,45,1,E,6,39,T1,22.3,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,45-ITS_S237_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.52202635931723,0.575223532430889,2,2
46-ITS_S238,46,1,F,6,40,T1,19.2,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,46-ITS_S238_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.0686091123943,0.448583341709078,3,2.5
47-ITS_S239,47,1,G,6,41,T1,25.1,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,47-ITS_S239_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.20302170703745,0.382471921521417,2,2
48-ITS_S240,48,1,H,6,42,T1,15,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,48-ITS_S240_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.513208095131,0.530535601392806,1,1.5
5-ITS_S197,5,1,E,1,14,T1,30.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,5-ITS_S197_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.13189814034739,0.787797258187751,3,3.5
50-ITS_S242,50,1,B,7,7,T1,28.8,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,50-ITS_S242_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.91440365192328,0.900604858050865,1,3
52-ITS_S244,52,1,D,7,43,T1,18.5,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,52-ITS_S244_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.48717756321635,0.856766962166545,1,2
53-ITS_S245,53,1,E,7,44,T1,17.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,53-ITS_S245_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.59083609393282,0.521574582639715,3,1.5
